primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
The Stepfather,Mystery,"$29,062,561 ",2009,Screen Gems,10/1/2009,216.509,2.6,10,5.2
The Stepford Wives,Comedy,"$59,484,742 ",2004,Paramount Pictures,6/1/2004,188.9,1.54,5.6,5.6
The Stepford Wives,Horror,"$59,484,742 ",2004,Paramount Pictures,6/1/2004,188.9,1.54,5.6,5.6
The Strangers,Horror,"$52,597,610 ",2008,Rogue Pictures,5/1/2008,215.208,4.19,5.4,7.3
The Strangers,Mystery,"$52,597,610 ",2008,Rogue Pictures,5/1/2008,215.208,4.19,5.4,7.3
The Sum of All Fears,Action,"$118,907,036 ",2002,Paramount Pictures,5/1/2002,179.5,1.16,5.8,6.2
The Sum of All Fears,Drama,"$118,907,036 ",2002,Paramount Pictures,5/1/2002,179.5,1.16,5.8,6.2
The Sweetest Thing,Comedy,"$24,718,164 ",2002,Sony Pictures Entertainment (SPE),4/1/2002,179.3,1.16,5.9,5.5
The Sweetest Thing,Romance,"$24,718,164 ",2002,Sony Pictures Entertainment (SPE),4/1/2002,179.3,1.16,5.9,5.5
The Tailor of Panama,Comedy,"$13,729,742 ",2001,Sony Pictures Entertainment (SPE),3/1/2001,176.1,1.39,4.3,5.3
The Tailor of Panama,Drama,"$13,729,742 ",2001,Sony Pictures Entertainment (SPE),3/1/2001,176.1,1.39,4.3,5.3
The Taking of Pelham 1 2 3,Action,"$65,452,312 ",2009,Sony Pictures Entertainment (SPE),6/1/2009,214.79,2.45,9.5,6.2
The Taking of Pelham 1 2 3,Crime,"$65,452,312 ",2009,Sony Pictures Entertainment (SPE),6/1/2009,214.79,2.45,9.5,6.2
The Tale of Despereaux,Adventure,"$50,877,145 ",2008,Universal Pictures,12/1/2008,211.398,2.64,7.3,6.2
The Tale of Despereaux,Comedy,"$50,877,145 ",2008,Universal Pictures,12/1/2008,211.398,2.64,7.3,6.2
The Tale of Despereaux,Animation,"$50,877,145 ",2008,Universal Pictures,12/1/2008,211.398,2.64,7.3,6.2
The Terminal,Comedy,"$77,872,883 ",2004,DreamWorks Distribution,6/1/2004,188.9,1.54,5.6,5.6
The Terminal,Drama,"$77,872,883 ",2004,DreamWorks Distribution,6/1/2004,188.9,1.54,5.6,5.6
The Texas Chainsaw Massacre,Crime,"$80,571,655 ",2003,New Line Cinema,10/1/2003,184.9,1.3,6,5.3
The Texas Chainsaw Massacre,Horror,"$80,571,655 ",2003,New Line Cinema,10/1/2003,184.9,1.3,6,5.3
The Texas Chainsaw Massacre: The Beginning,Horror,"$39,517,763 ",2006,New Line Cinema,10/1/2006,201.9,2.4,4.4,3.2
The Texas Chainsaw Massacre: The Beginning,Thriller,"$39,517,763 ",2006,New Line Cinema,10/1/2006,201.9,2.4,4.4,3.2
The Three Burials of Melquiades Estrada,Adventure,"$5,027,684 ",2006,Sony Pictures Classics,12/1/2006,203.1,2.46,4.4,3.5
The Three Burials of Melquiades Estrada,Crime,"$5,027,684 ",2006,Sony Pictures Classics,12/1/2006,203.1,2.46,4.4,3.5
The Time Machine,Action,"$56,832,494 ",2002,DreamWorks Distribution,3/1/2002,178.5,1.12,5.7,5.6
The Time Machine,Sci-Fi,"$56,832,494 ",2002,DreamWorks Distribution,3/1/2002,178.5,1.12,5.7,5.6
The Time Machine,Adventure,"$56,832,494 ",2002,DreamWorks Distribution,3/1/2002,178.5,1.12,5.7,5.6
The Time Traveler's Wife,Comedy,"$63,414,846 ",2009,Warner Bros.,8/1/2009,215.445,2.56,9.6,4.5
The Time Traveler's Wife,Drama,"$63,414,846 ",2009,Warner Bros.,8/1/2009,215.445,2.56,9.6,4.5
The Transporter,Action,"$25,296,447 ",2002,Twentieth Century Fox,10/1/2002,181.2,1.2,5.7,5.8
The Transporter,Crime,"$25,296,447 ",2002,Twentieth Century Fox,10/1/2002,181.2,1.2,5.7,5.8
The Triplets of Belleville,Animation,"$7,007,149 ",2004,Sony Pictures Classics,11/1/2004,191.7,1.96,5.4,3.8
The Triplets of Belleville,Drama,"$7,007,149 ",2004,Sony Pictures Classics,11/1/2004,191.7,1.96,5.4,3.8
The Triplets of Belleville,Comedy,"$7,007,149 ",2004,Sony Pictures Classics,11/1/2004,191.7,1.96,5.4,3.8
The Truth About Charlie,Mystery,"$5,350,371 ",2002,Universal Pictures,10/1/2002,181.2,1.2,5.7,5.8
The Truth About Charlie,Thriller,"$5,350,371 ",2002,Universal Pictures,10/1/2002,181.2,1.2,5.7,5.8
The Tuxedo,Action,"$50,547,998 ",2002,DreamWorks Distribution,9/1/2002,180.8,1.17,5.7,5.9
The Tuxedo,Sci-Fi,"$50,547,998 ",2002,DreamWorks Distribution,9/1/2002,180.8,1.17,5.7,5.9
The Tuxedo,Comedy,"$50,547,998 ",2002,DreamWorks Distribution,9/1/2002,180.8,1.17,5.7,5.9
The Twilight Saga: New Moon,Adventure,"$296,623,634 ",2009,Summit Entertainment,11/1/2009,217.234,2.79,9.9,5.6
The Twilight Saga: New Moon,Drama,"$296,623,634 ",2009,Summit Entertainment,11/1/2009,217.234,2.79,9.9,5.6
The Ugly Truth,Comedy,"$88,915,214 ",2009,Sony Pictures Entertainment (SPE),7/1/2009,214.726,2.45,9.5,5.5
The Unborn,Horror,"$42,670,410 ",2009,Universal Pictures,1/1/2009,211.933,2.51,7.8,6.2
The Unborn,Mystery,"$42,670,410 ",2009,Universal Pictures,1/1/2009,211.933,2.51,7.8,6.2
The Uninvited,Horror,"$28,596,818 ",2009,DreamWorks,1/1/2009,211.933,2.51,7.8,6.2
The Upside of Anger,Comedy,"$18,761,993 ",2005,New Line Cinema,3/1/2005,193.1,2.08,5.2,3.1
The Upside of Anger,Drama,"$18,761,993 ",2005,New Line Cinema,3/1/2005,193.1,2.08,5.2,3.1
The Village,Drama,"$114,197,520 ",2004,Walt Disney Studios Motion Pictures,7/1/2004,189.1,1.54,5.5,5
The Village,Mystery,"$114,197,520 ",2004,Walt Disney Studios Motion Pictures,7/1/2004,189.1,1.54,5.5,5
The Visitor,\N,"$9,427,089 ",2008,Overture Films,4/1/2008,213.942,3.88,5,2.9
The Wash,Comedy,"$10,097,538 ",2001,Lionsgate,11/1/2001,177.5,1.19,5.5,3.5
The Water Horse,Adventure,"$40,946,255 ",2007,Revolution Studios,12/1/2007,211.445,3.25,5,3.2
The Water Horse,Family,"$40,946,255 ",2007,Revolution Studios,12/1/2007,211.445,3.25,5,3.2
The Weather Man,Comedy,"$12,482,775 ",2005,Paramount Pictures,10/1/2005,199.1,2.63,5,2.9
The Weather Man,Drama,"$12,482,775 ",2005,Paramount Pictures,10/1/2005,199.1,2.63,5,2.9
The Wedding Date,Comedy,"$31,726,995 ",2005,Universal Pictures,2/1/2005,192.4,1.96,5.4,2.9
The Wedding Date,Romance,"$31,726,995 ",2005,Universal Pictures,2/1/2005,192.4,1.96,5.4,2.9
The Wedding Planner,Comedy,"$60,400,856 ",2001,Sony Pictures Entertainment (SPE),1/1/2001,175.6,1.51,4.2,4.9
The Wedding Planner,Romance,"$60,400,856 ",2001,Sony Pictures Entertainment (SPE),1/1/2001,175.6,1.51,4.2,4.9
The Whole Ten Yards,Comedy,"$16,328,471 ",2004,Warner Bros.,4/1/2004,187.4,1.52,5.6,5.1
The Whole Ten Yards,Crime,"$16,328,471 ",2004,Warner Bros.,4/1/2004,187.4,1.52,5.6,5.1
The Wicker Man,Horror,"$23,649,127 ",2006,Warner Bros.,9/1/2006,202.8,2.53,4.5,3.2
The Wicker Man,Mystery,"$23,649,127 ",2006,Warner Bros.,9/1/2006,202.8,2.53,4.5,3.2
The Wild,Adventure,"$37,384,046 ",2006,Walt Disney Studios Motion Pictures,4/1/2006,200.7,2.53,4.7,3.8
The Wild,Drama,"$37,384,046 ",2006,Walt Disney Studios Motion Pictures,4/1/2006,200.7,2.53,4.7,3.8
The Wild Thornberrys,Adventure,"$40,108,697 ",2002,Paramount Pictures,12/1/2002,181.8,1.27,6,5.4
The Wild Thornberrys,Comedy,"$40,108,697 ",2002,Paramount Pictures,12/1/2002,181.8,1.27,6,5.4
The Wild Thornberrys,Animation,"$40,108,697 ",2002,Paramount Pictures,12/1/2002,181.8,1.27,6,5.4
The Women,Comedy,"$26,902,075 ",2008,Picturehouse,9/1/2008,218.877,3.95,6.1,4.3
The Women,Short,"$26,902,075 ",2008,Picturehouse,9/1/2008,218.877,3.95,6.1,4.3
The World's Fastest Indian,Biography,"$5,128,124 ",2006,Magnolia Pictures,12/1/2006,203.1,2.46,4.4,3.5
The World's Fastest Indian,Drama,"$5,128,124 ",2006,Magnolia Pictures,12/1/2006,203.1,2.46,4.4,3.5
The Wrestler,Drama,"$26,238,243 ",2009,Fox Searchlight Pictures,12/1/2009,217.347,2.79,9.9,5.6
The Wrestler,Sport,"$26,238,243 ",2009,Fox Searchlight Pictures,12/1/2009,217.347,2.79,9.9,5.6
