primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
9,Crime,"$31,749,894 ",2009,Focus Features,9/1/2009,215.861,2.55,9.8,5.6
9,Drama,"$31,749,894 ",2009,Focus Features,9/1/2009,215.861,2.55,9.8,5.6
21,Crime,"$81,159,365 ",2008,Sony Pictures Entertainment (SPE),3/1/2008,213.448,3.7,5.1,3.4
21,Drama,"$81,159,365 ",2008,Sony Pictures Entertainment (SPE),3/1/2008,213.448,3.7,5.1,3.4
300,Action,"$210,614,939 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
300,Drama,"$210,614,939 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
1408,Fantasy,"$71,985,628 ",2007,-,6/1/2007,207.234,2.56,4.6,3.5
1408,Horror,"$71,985,628 ",2007,-,6/1/2007,207.234,2.56,4.6,3.5
2012,Action,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
2012,Sci-Fi,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
2012,Adventure,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
"10,000 BC",Action,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
"10,000 BC",Drama,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
"10,000 BC",Adventure,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
12 Rounds,Action,"$12,234,694 ",2009,Twentieth Century Fox,3/1/2009,212.495,2.32,8.7,5.9
12 Rounds,Crime,"$12,234,694 ",2009,Twentieth Century Fox,3/1/2009,212.495,2.32,8.7,5.9
13 Going on 30,Comedy,"$57,231,747 ",2004,Revolution Studios,4/1/2004,187.4,1.52,5.6,5.1
13 Going on 30,Fantasy,"$57,231,747 ",2004,Revolution Studios,4/1/2004,187.4,1.52,5.6,5.1
15 Minutes,Action,"$24,403,552 ",2001,New Line Cinema,3/1/2001,176.1,1.39,4.3,5.3
15 Minutes,Crime,"$24,403,552 ",2001,New Line Cinema,3/1/2001,176.1,1.39,4.3,5.3
16 Blocks,Action,"$36,895,141 ",2006,Warner Bros.,3/1/2006,199.7,2.43,4.7,4.1
16 Blocks,Drama,"$36,895,141 ",2006,Warner Bros.,3/1/2006,199.7,2.43,4.7,4.1
17 Again,Comedy,"$64,167,069 ",2009,Warner Bros.,4/1/2009,212.709,2.35,9,6.6
17 Again,Drama,"$64,167,069 ",2009,Warner Bros.,4/1/2009,212.709,2.35,9,6.6
2 Fast 2 Furious,Action,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
2 Fast 2 Furious,Crime,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
2 Fast 2 Furious,Adventure,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
20th Anniversary,Crime,,2002,,1/1/2002,177.7,1.12,5.7,5.7
20th Anniversary,Documentary,,2002,,1/1/2002,177.7,1.12,5.7,5.7
21 Grams,Crime,"$16,290,476 ",2003,Focus Features,11/1/2003,185,1.33,5.8,5.3
21 Grams,Drama,"$16,290,476 ",2003,Focus Features,11/1/2003,185,1.33,5.8,5.3
25th Hour,Drama,"$13,084,595 ",2003,Walt Disney Studios Motion Pictures,12/1/2003,185.5,1.36,5.7,5.2
27 Dresses,Comedy,"$76,808,654 ",2008,Twentieth Century Fox,1/1/2008,212.174,3.34,5,3.2
27 Dresses,Romance,"$76,808,654 ",2008,Twentieth Century Fox,1/1/2008,212.174,3.34,5,3.2
28 Days Later...,Drama,"$45,064,915 ",2003,Fox Searchlight Pictures,6/1/2003,183.1,1.31,6.3,5.3
28 Days Later...,Horror,"$45,064,915 ",2003,Fox Searchlight Pictures,6/1/2003,183.1,1.31,6.3,5.3
28 Weeks Later,Action,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
28 Weeks Later,Horror,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
28 Weeks Later,Adventure,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
3 Idiots,Comedy,"$6,532,874 ",2009,Reliance Big Pictures,12/1/2009,217.347,2.79,9.9,5.6
3 Idiots,Drama,"$6,532,874 ",2009,Reliance Big Pictures,12/1/2009,217.347,2.79,9.9,5.6
3:10 to Yuma,Action,"$53,606,916 ",2007,Lionsgate,9/1/2007,208.547,2.71,4.7,3.1
3:10 to Yuma,Crime,"$53,606,916 ",2007,Lionsgate,9/1/2007,208.547,2.71,4.7,3.1
30 Days of Night,Action,"$39,569,000 ",2007,Sony Pictures Entertainment (SPE),10/1/2007,209.19,2.81,4.7,3
30 Days of Night,Horror,"$39,569,000 ",2007,Sony Pictures Entertainment (SPE),10/1/2007,209.19,2.81,4.7,3
3000 Miles to Graceland,Action,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
3000 Miles to Graceland,Crime,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
3000 Miles to Graceland,Comedy,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
40 Days and 40 Nights,Comedy,"$37,950,822 ",2002,Miramax,3/1/2002,178.5,1.12,5.7,5.6
40 Days and 40 Nights,Romance,"$37,950,822 ",2002,Miramax,3/1/2002,178.5,1.12,5.7,5.6
50 First Dates,Comedy,"$120,908,074 ",2004,Sony Pictures Entertainment (SPE),2/1/2004,186.7,1.56,5.6,4.9
50 First Dates,Drama,"$120,908,074 ",2004,Sony Pictures Entertainment (SPE),2/1/2004,186.7,1.56,5.6,4.9
500 Days of Summer,Comedy,"$32,391,374 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
500 Days of Summer,Drama,"$32,391,374 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
8 Mile,Drama,"$116,750,901 ",2002,Universal Pictures,11/1/2002,181.5,1.22,5.9,5.8
8 Mile,Music,"$116,750,901 ",2002,Universal Pictures,11/1/2002,181.5,1.22,5.9,5.8
88 Minutes,Crime,"$17,213,467 ",2008,Sony Pictures Entertainment (SPE),4/1/2008,213.942,3.88,5,2.9
88 Minutes,Drama,"$17,213,467 ",2008,Sony Pictures Entertainment (SPE),4/1/2008,213.942,3.88,5,2.9
A Beautiful Mind,Biography,"$170,742,341 ",2001,Universal Pictures,12/1/2001,177.4,1.12,5.7,3.8
A Beautiful Mind,Drama,"$170,742,341 ",2001,Universal Pictures,12/1/2001,177.4,1.12,5.7,3.8
A Christmas Carol,Comedy,"$137,855,863 ",2009,Walt Disney Studios Motion Pictures,11/1/2009,217.234,2.79,9.9,5.6
A Christmas Carol,Fantasy,"$137,855,863 ",2009,Walt Disney Studios Motion Pictures,11/1/2009,217.234,2.79,9.9,5.6
A Cinderella Story,Comedy,"$51,438,175 ",2004,Warner Bros.,7/1/2004,189.1,1.54,5.5,5
A Cinderella Story,Family,"$51,438,175 ",2004,Warner Bros.,7/1/2004,189.1,1.54,5.5,5
A Day Without a Mexican,Comedy,"$4,179,890 ",2004,Televisa Cine,5/1/2004,188.2,1.53,5.6,5.1
A Day Without a Mexican,Drama,"$4,179,890 ",2004,Televisa Cine,5/1/2004,188.2,1.53,5.6,5.1
A Good Year,Comedy,"$7,459,300 ",2006,Twentieth Century Fox,11/1/2006,202,2.38,4.5,3.6
A Good Year,Drama,"$7,459,300 ",2006,Twentieth Century Fox,11/1/2006,202,2.38,4.5,3.6
A Guy Thing,Comedy,"$15,545,431 ",2003,Metro-Goldwyn-Mayer (MGM),1/1/2003,182.6,1.4,5.8,5.4
A Guy Thing,Romance,"$15,545,431 ",2003,Metro-Goldwyn-Mayer (MGM),1/1/2003,182.6,1.4,5.8,5.4
A History of Violence,Action,"$31,504,633 ",2005,New Line Cinema,9/1/2005,198.8,2.59,5,2.7
A History of Violence,Crime,"$31,504,633 ",2005,New Line Cinema,9/1/2005,198.8,2.59,5,2.7
A Knight's Tale,Action,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Knight's Tale,Romance,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Knight's Tale,Adventure,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Lot Like Love,Comedy,"$21,845,719 ",2005,Walt Disney Studios Motion Pictures,4/1/2005,193.7,2.12,5.2,2.7
A Lot Like Love,Drama,"$21,845,719 ",2005,Walt Disney Studios Motion Pictures,4/1/2005,193.7,2.12,5.2,2.7
A Man Apart,Action,"$26,736,098 ",2003,New Line Cinema,4/1/2003,183.2,1.49,6,5.1
A Man Apart,Crime,"$26,736,098 ",2003,New Line Cinema,4/1/2003,183.2,1.49,6,5.1
A Mighty Heart,Biography,"$9,176,787 ",2007,Paramount Vantage,6/1/2007,207.234,2.56,4.6,3.5
A Mighty Heart,Drama,"$9,176,787 ",2007,Paramount Vantage,6/1/2007,207.234,2.56,4.6,3.5
A Mighty Wind,Comedy,"$17,781,006 ",2003,Warner Bros.,4/1/2003,183.2,1.49,6,5.1
A Mighty Wind,Music,"$17,781,006 ",2003,Warner Bros.,4/1/2003,183.2,1.49,6,5.1
A Perfect Getaway,Drama,"$15,515,460 ",2009,Universal Pictures,8/1/2009,215.445,2.56,9.6,4.5
A Perfect Getaway,Mystery,"$15,515,460 ",2009,Universal Pictures,8/1/2009,215.445,2.56,9.6,4.5
A Prairie Home Companion,Comedy,"$20,342,852 ",2006,Picturehouse,6/1/2006,201.8,2.57,4.6,3.7
A Prairie Home Companion,Drama,"$20,342,852 ",2006,Picturehouse,6/1/2006,201.8,2.57,4.6,3.7
A Scanner Darkly,Animation,"$5,501,616 ",2006,Warner Independent Pictures (WIP),7/1/2006,202.9,2.6,4.7,3.1
A Scanner Darkly,Crime,"$5,501,616 ",2006,Warner Independent Pictures (WIP),7/1/2006,202.9,2.6,4.7,3.1
A Scanner Darkly,Comedy,"$5,501,616 ",2006,Warner Independent Pictures (WIP),7/1/2006,202.9,2.6,4.7,3.1
A Series of Unfortunate Events,Adventure,"$118,634,549 ",2004,Paramount Pictures,12/1/2004,191.7,1.9,5.4,6.6
A Series of Unfortunate Events,Family,"$118,634,549 ",2004,Paramount Pictures,12/1/2004,191.7,1.9,5.4,6.6
A Series of Unfortunate Events,Comedy,"$118,634,549 ",2004,Paramount Pictures,12/1/2004,191.7,1.9,5.4,6.6
A Serious Man,Comedy,"$9,228,768 ",2009,Focus Features,10/1/2009,216.509,2.6,10,5.2
A Serious Man,Drama,"$9,228,768 ",2009,Focus Features,10/1/2009,216.509,2.6,10,5.2
A Very Long Engagement,Drama,"$6,524,389 ",2005,Warner Independent Pictures (WIP),11/1/2005,198.1,2.46,5,3.2
A Very Long Engagement,Mystery,"$6,524,389 ",2005,Warner Independent Pictures (WIP),11/1/2005,198.1,2.46,5,3.2
A Walk to Remember,Drama,"$41,281,092 ",2002,Warner Bros.,1/1/2002,177.7,1.12,5.7,5.7
A Walk to Remember,Romance,"$41,281,092 ",2002,Warner Bros.,1/1/2002,177.7,1.12,5.7,5.7
A.I. Artificial Intelligence,Drama,"$78,616,689 ",2001,Warner Bros.,6/1/2001,177.7,1.32,4.5,4.4
A.I. Artificial Intelligence,Sci-Fi,"$78,616,689 ",2001,Warner Bros.,6/1/2001,177.7,1.32,4.5,4.4
Abandon,Drama,"$10,727,683 ",2002,Paramount Pictures,10/1/2002,181.2,1.2,5.7,5.8
Abandon,Mystery,"$10,727,683 ",2002,Paramount Pictures,10/1/2002,181.2,1.2,5.7,5.8
About a Boy,Comedy,"$41,385,278 ",2002,Universal Pictures,5/1/2002,179.5,1.16,5.8,6.2
About a Boy,Drama,"$41,385,278 ",2002,Universal Pictures,5/1/2002,179.5,1.16,5.8,6.2
About Schmidt,Comedy,"$65,016,287 ",2003,New Line Cinema,12/1/2003,185.5,1.36,5.7,5.2
About Schmidt,Drama,"$65,016,287 ",2003,New Line Cinema,12/1/2003,185.5,1.36,5.7,5.2
Accepted,Comedy,"$36,323,505 ",2006,Universal Pictures,8/1/2006,203.8,2.65,4.7,3.3
Across the Universe,Drama,"$24,343,673 ",2007,Revolution Studios,9/1/2007,208.547,2.71,4.7,3.1
Across the Universe,Fantasy,"$24,343,673 ",2007,Revolution Studios,9/1/2007,208.547,2.71,4.7,3.1
Adam,Animation,"$2,277,396 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
Adam,Sci-Fi,"$2,277,396 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
Adam,Comedy,"$2,277,396 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
Adaptation.,Comedy,"$22,498,520 ",2002,Sony Pictures Entertainment (SPE),12/1/2002,181.8,1.27,6,5.4
Adaptation.,Drama,"$22,498,520 ",2002,Sony Pictures Entertainment (SPE),12/1/2002,181.8,1.27,6,5.4
Adventureland,Comedy,"$16,044,025 ",2009,Miramax,4/1/2009,212.709,2.35,9,6.6
Adventureland,Drama,"$16,044,025 ",2009,Miramax,4/1/2009,212.709,2.35,9,6.6
After the Sunset,Action,"$28,331,233 ",2004,New Line Cinema,11/1/2004,191.7,1.96,5.4,3.8
After the Sunset,Crime,"$28,331,233 ",2004,New Line Cinema,11/1/2004,191.7,1.96,5.4,3.8
After the Sunset,Comedy,"$28,331,233 ",2004,New Line Cinema,11/1/2004,191.7,1.96,5.4,3.8
Against the Ropes,Biography,"$5,884,190 ",2004,Paramount Pictures,2/1/2004,186.7,1.56,5.6,4.9
Against the Ropes,Drama,"$5,884,190 ",2004,Paramount Pictures,2/1/2004,186.7,1.56,5.6,4.9
Agent Cody Banks,Action,"$47,938,330 ",2003,Metro-Goldwyn-Mayer (MGM),3/1/2003,183.9,1.77,5.9,5
Agent Cody Banks,Comedy,"$47,938,330 ",2003,Metro-Goldwyn-Mayer (MGM),3/1/2003,183.9,1.77,5.9,5
Agent Cody Banks,Adventure,"$47,938,330 ",2003,Metro-Goldwyn-Mayer (MGM),3/1/2003,183.9,1.77,5.9,5
Agent Cody Banks 2: Destination London,Action,"$23,630,159 ",2004,Metro-Goldwyn-Mayer (MGM),3/1/2004,187.1,1.54,5.8,4.7
Agent Cody Banks 2: Destination London,Comedy,"$23,630,159 ",2004,Metro-Goldwyn-Mayer (MGM),3/1/2004,187.1,1.54,5.8,4.7
Agent Cody Banks 2: Destination London,Adventure,"$23,630,159 ",2004,Metro-Goldwyn-Mayer (MGM),3/1/2004,187.1,1.54,5.8,4.7
Akeelah and the Bee,Drama,"$18,848,430 ",2006,Lionsgate,4/1/2006,200.7,2.53,4.7,3.8
Akeelah and the Bee,Family,"$18,848,430 ",2006,Lionsgate,4/1/2006,200.7,2.53,4.7,3.8
Alex & Emma,Comedy,"$14,218,698 ",2003,Warner Bros.,6/1/2003,183.1,1.31,6.3,5.3
Alex & Emma,Romance,"$14,218,698 ",2003,Warner Bros.,6/1/2003,183.1,1.31,6.3,5.3
Alexander,Comedy,"$34,297,191 ",2004,Warner Bros.,11/1/2004,191.7,1.96,5.4,3.8
Alfie,Comedy,"$13,399,812 ",2004,Paramount Pictures,11/1/2004,191.7,1.96,5.4,3.8
Alfie,Drama,"$13,399,812 ",2004,Paramount Pictures,11/1/2004,191.7,1.96,5.4,3.8
Ali,Biography,"$58,203,105 ",2001,Sony Pictures Entertainment (SPE),12/1/2001,177.4,1.12,5.7,3.8
Ali,Drama,"$58,203,105 ",2001,Sony Pictures Entertainment (SPE),12/1/2001,177.4,1.12,5.7,3.8
Alien vs. Predator,Action,"$80,282,231 ",2004,Twentieth Century Fox,8/1/2004,189.2,1.61,5.4,5
Alien vs. Predator,Horror,"$80,282,231 ",2004,Twentieth Century Fox,8/1/2004,189.2,1.61,5.4,5
Alien vs. Predator,Adventure,"$80,282,231 ",2004,Twentieth Century Fox,8/1/2004,189.2,1.61,5.4,5
Aliens in the Attic,Adventure,"$25,200,412 ",2009,Twentieth Century Fox,7/1/2009,214.726,2.45,9.5,5.5
Aliens in the Attic,Family,"$25,200,412 ",2009,Twentieth Century Fox,7/1/2009,214.726,2.45,9.5,5.5
Aliens in the Attic,Comedy,"$25,200,412 ",2009,Twentieth Century Fox,7/1/2009,214.726,2.45,9.5,5.5
Aliens of the Deep,Documentary,"$8,968,684 ",2005,Walt Disney Studios Motion Pictures,1/1/2005,191.6,1.86,5.3,3.2
Aliens of the Deep,Family,"$8,968,684 ",2005,Walt Disney Studios Motion Pictures,1/1/2005,191.6,1.86,5.3,3.2
Aliens vs. Predator: Requiem,Action,"$41,797,066 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
Aliens vs. Predator: Requiem,Horror,"$41,797,066 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
Aliens vs. Predator: Requiem,Adventure,"$41,797,066 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
All About Steve,Animation,"$33,862,903 ",2009,Twentieth Century Fox,9/1/2009,215.861,2.55,9.8,5.6
All About Steve,Comedy,"$33,862,903 ",2009,Twentieth Century Fox,9/1/2009,215.861,2.55,9.8,5.6
All About the Benjamins,Action,"$25,916,319 ",2002,New Line Cinema,3/1/2002,178.5,1.12,5.7,5.6
All About the Benjamins,Crime,"$25,916,319 ",2002,New Line Cinema,3/1/2002,178.5,1.12,5.7,5.6
All About the Benjamins,Comedy,"$25,916,319 ",2002,New Line Cinema,3/1/2002,178.5,1.12,5.7,5.6
All the King's Men,Drama,"$7,221,458 ",2006,Sony Pictures Entertainment (SPE),9/1/2006,202.8,2.53,4.5,3.2
All the King's Men,Thriller,"$7,221,458 ",2006,Sony Pictures Entertainment (SPE),9/1/2006,202.8,2.53,4.5,3.2
All the Pretty Horses,Biography,"$15,540,353 ",2001,Miramax,12/1/2001,177.4,1.12,5.7,3.8
All the Pretty Horses,Documentary,"$15,540,353 ",2001,Miramax,12/1/2001,177.4,1.12,5.7,3.8
Alone in the Dark,Action,"$5,178,569 ",2005,Lionsgate,1/1/2005,191.6,1.86,5.3,3.2
Alone in the Dark,Horror,"$5,178,569 ",2005,Lionsgate,1/1/2005,191.6,1.86,5.3,3.2
Along Came a Spider,Drama,"$74,078,174 ",2001,Paramount Pictures,4/1/2001,176.4,1.37,4.4,5.1
Along Came a Spider,Thriller,"$74,078,174 ",2001,Paramount Pictures,4/1/2001,176.4,1.37,4.4,5.1
Along Came Polly,Comedy,"$88,097,164 ",2004,Universal Pictures,1/1/2004,186.3,1.51,5.7,4.9
Along Came Polly,Romance,"$88,097,164 ",2004,Universal Pictures,1/1/2004,186.3,1.51,5.7,4.9
Alpha Dog,Biography,"$15,309,602 ",2007,Universal Pictures,1/1/2007,203.437,2.37,4.6,3.2
Alpha Dog,Crime,"$15,309,602 ",2007,Universal Pictures,1/1/2007,203.437,2.37,4.6,3.2
Alvin and the Chipmunks,Adventure,"$217,326,974 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
Alvin and the Chipmunks,Comedy,"$217,326,974 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
Alvin and the Chipmunks,Animation,"$217,326,974 ",2007,Twentieth Century Fox,12/1/2007,211.445,3.25,5,3.2
Alvin and the Chipmunks: The Squeakquel,Adventure,"$219,614,612 ",2009,Twentieth Century Fox,12/1/2009,217.347,2.79,9.9,5.6
Alvin and the Chipmunks: The Squeakquel,Comedy,"$219,614,612 ",2009,Twentieth Century Fox,12/1/2009,217.347,2.79,9.9,5.6
Alvin and the Chipmunks: The Squeakquel,Animation,"$219,614,612 ",2009,Twentieth Century Fox,12/1/2009,217.347,2.79,9.9,5.6
Amazing Grace,Biography,"$21,250,683 ",2007,IDP Distribution,2/1/2007,204.226,2.43,4.5,3.6
Amazing Grace,Drama,"$21,250,683 ",2007,IDP Distribution,2/1/2007,204.226,2.43,4.5,3.6
Amelia,Drama,"$14,246,488 ",2009,Fox Searchlight Pictures,10/1/2009,216.509,2.6,10,5.2
Amelia,Musical,"$14,246,488 ",2009,Fox Searchlight Pictures,10/1/2009,216.509,2.6,10,5.2
American Dreamz,Comedy,"$7,191,830 ",2006,Universal Pictures,4/1/2006,200.7,2.53,4.7,3.8
American Dreamz,Music,"$7,191,830 ",2006,Universal Pictures,4/1/2006,200.7,2.53,4.7,3.8
American Gangster,Biography,"$130,164,645 ",2007,Universal Pictures,11/1/2007,210.834,3.17,4.7,2.8
American Gangster,Crime,"$130,164,645 ",2007,Universal Pictures,11/1/2007,210.834,3.17,4.7,2.8
American Outlaws,Action,"$13,342,790 ",2001,Warner Bros.,8/1/2001,177.4,1.24,4.9,6.6
American Outlaws,Western,"$13,342,790 ",2001,Warner Bros.,8/1/2001,177.4,1.24,4.9,6.6
American Pie 2,Comedy,"$145,103,595 ",2001,Universal Pictures,8/1/2001,177.4,1.24,4.9,6.6
American Splendor,Biography,"$6,010,990 ",2003,Fine Line Features,8/1/2003,184.5,1.28,6.1,5.9
American Splendor,Drama,"$6,010,990 ",2003,Fine Line Features,8/1/2003,184.5,1.28,6.1,5.9
American Splendor,Comedy,"$6,010,990 ",2003,Fine Line Features,8/1/2003,184.5,1.28,6.1,5.9
American Wedding,Comedy,"$104,565,114 ",2003,Universal Pictures,8/1/2003,184.5,1.28,6.1,5.9
America's Sweethearts,Comedy,"$93,607,673 ",2001,Revolution Studios,7/1/2001,177.4,1.26,4.6,5.6
America's Sweethearts,Romance,"$93,607,673 ",2001,Revolution Studios,7/1/2001,177.4,1.26,4.6,5.6
An American Haunting,Drama,"$16,298,046 ",2006,Freestyle Releasing,5/1/2006,201.3,2.57,4.6,3.6
An American Haunting,History,"$16,298,046 ",2006,Freestyle Releasing,5/1/2006,201.3,2.57,4.6,3.6
An Education,Drama,"$12,574,914 ",2009,Sony Pictures Classics,10/1/2009,216.509,2.6,10,5.2
An Inconvenient Truth,Documentary,"$24,146,161 ",2006,Paramount Classics,5/1/2006,201.3,2.57,4.6,3.6
An Inconvenient Truth,News,"$24,146,161 ",2006,Paramount Classics,5/1/2006,201.3,2.57,4.6,3.6
An Unfinished Life,Drama,"$8,586,392 ",2005,Miramax,9/1/2005,198.8,2.59,5,2.7
An Unfinished Life,Family,"$8,586,392 ",2005,Miramax,9/1/2005,198.8,2.59,5,2.7
Anacondas: The Hunt for the Blood Orchid,Action,"$32,238,923 ",2004,Screen Gems,8/1/2004,189.2,1.61,5.4,5
Anacondas: The Hunt for the Blood Orchid,Horror,"$32,238,923 ",2004,Screen Gems,8/1/2004,189.2,1.61,5.4,5
Anacondas: The Hunt for the Blood Orchid,Adventure,"$32,238,923 ",2004,Screen Gems,8/1/2004,189.2,1.61,5.4,5
Analyze That,Comedy,"$32,130,627 ",2002,Warner Bros.,12/1/2002,181.8,1.27,6,5.4
Analyze That,Crime,"$32,130,627 ",2002,Warner Bros.,12/1/2002,181.8,1.27,6,5.4
Anchorman: The Legend of Ron Burgundy,Comedy,"$85,288,303 ",2004,DreamWorks Distribution,7/1/2004,189.1,1.54,5.5,5
Angel Eyes,Drama,"$24,174,218 ",2001,Warner Bros.,5/1/2001,177.3,1.34,4.3,4.5
Angel Eyes,Romance,"$24,174,218 ",2001,Warner Bros.,5/1/2001,177.3,1.34,4.3,4.5
Angels & Demons,Action,"$133,375,846 ",2009,Sony Pictures Entertainment (SPE),5/1/2009,213.022,2.34,9.4,7.9
Angels & Demons,Mystery,"$133,375,846 ",2009,Sony Pictures Entertainment (SPE),5/1/2009,213.022,2.34,9.4,7.9
Anger Management,Comedy,"$135,645,823 ",2003,Revolution Studios,4/1/2003,183.2,1.49,6,5.1
Annapolis,Drama,"$17,127,992 ",2006,Walt Disney Studios Motion Pictures,1/1/2006,199.3,2.42,4.7,3.7
Annapolis,Romance,"$17,127,992 ",2006,Walt Disney Studios Motion Pictures,1/1/2006,199.3,2.42,4.7,3.7
Antitrust,Action,"$11,328,094 ",2001,Metro-Goldwyn-Mayer (MGM),1/1/2001,175.6,1.51,4.2,4.9
Antitrust,Crime,"$11,328,094 ",2001,Metro-Goldwyn-Mayer (MGM),1/1/2001,175.6,1.51,4.2,4.9
Antwone Fisher,Biography,"$21,078,145 ",2002,Fox Searchlight Pictures,12/1/2002,181.8,1.27,6,5.4
Antwone Fisher,Drama,"$21,078,145 ",2002,Fox Searchlight Pictures,12/1/2002,181.8,1.27,6,5.4
Anything Else,Comedy,"$3,212,310 ",2003,DreamWorks Distribution,9/1/2003,185.1,1.28,6.1,5.1
Anything Else,Romance,"$3,212,310 ",2003,DreamWorks Distribution,9/1/2003,185.1,1.28,6.1,5.1
Apocalypto,Action,"$50,866,635 ",2006,Walt Disney Studios Motion Pictures,12/1/2006,203.1,2.46,4.4,3.5
Apocalypto,Drama,"$50,866,635 ",2006,Walt Disney Studios Motion Pictures,12/1/2006,203.1,2.46,4.4,3.5
Apocalypto,Adventure,"$50,866,635 ",2006,Walt Disney Studios Motion Pictures,12/1/2006,203.1,2.46,4.4,3.5
Appaloosa,Action,"$20,211,394 ",2008,Warner Bros.,9/1/2008,218.877,3.95,6.1,4.3
Appaloosa,Crime,"$20,211,394 ",2008,Warner Bros.,9/1/2008,218.877,3.95,6.1,4.3
Aqua Teen Hunger Force Colon Movie Film for Theaters,Action,"$5,520,368 ",2007,First Look International,4/1/2007,205.904,2.56,4.5,3.8
Aqua Teen Hunger Force Colon Movie Film for Theaters,Animation,"$5,520,368 ",2007,First Look International,4/1/2007,205.904,2.56,4.5,3.8
Aqua Teen Hunger Force Colon Movie Film for Theaters,Adventure,"$5,520,368 ",2007,First Look International,4/1/2007,205.904,2.56,4.5,3.8
Aquamarine,Comedy,"$18,597,342 ",2006,Twentieth Century Fox,3/1/2006,199.7,2.43,4.7,4.1
Aquamarine,Family,"$18,597,342 ",2006,Twentieth Century Fox,3/1/2006,199.7,2.43,4.7,4.1
Are We Done Yet?,Comedy,"$49,662,533 ",2007,Revolution Studios,4/1/2007,205.904,2.56,4.5,3.8
Are We Done Yet?,Family,"$49,662,533 ",2007,Revolution Studios,4/1/2007,205.904,2.56,4.5,3.8
Are We There Yet?,Adventure,"$82,674,398 ",2005,Revolution Studios,1/1/2005,191.6,1.86,5.3,3.2
Are We There Yet?,Family,"$82,674,398 ",2005,Revolution Studios,1/1/2005,191.6,1.86,5.3,3.2
Are We There Yet?,Comedy,"$82,674,398 ",2005,Revolution Studios,1/1/2005,191.6,1.86,5.3,3.2
Armored,Action,"$15,988,876 ",2009,Screen Gems,12/1/2009,217.347,2.79,9.9,5.6
Armored,Crime,"$15,988,876 ",2009,Screen Gems,12/1/2009,217.347,2.79,9.9,5.6
Around the World in 80 Days,Action,"$24,008,137 ",2004,Walt Disney Studios Motion Pictures,6/1/2004,188.9,1.54,5.6,5.6
Around the World in 80 Days,Comedy,"$24,008,137 ",2004,Walt Disney Studios Motion Pictures,6/1/2004,188.9,1.54,5.6,5.6
Around the World in 80 Days,Adventure,"$24,008,137 ",2004,Walt Disney Studios Motion Pictures,6/1/2004,188.9,1.54,5.6,5.6
Arthur and the Invisibles,Adventure,"$15,132,763 ",2007,-,12/1/2007,211.445,3.25,5,3.2
Arthur and the Invisibles,Comedy,"$15,132,763 ",2007,-,12/1/2007,211.445,3.25,5,3.2
Arthur and the Invisibles,Animation,"$15,132,763 ",2007,-,12/1/2007,211.445,3.25,5,3.2
